,latitude,temperature,humidity,cloudiness,wind speed
cap malheureux,-19.98,22.9,78,40,4.1
itoman,26.12,26.88,88,75,4.1
lavrentiya,65.58,7.8,97,100,2.55
preeceville,51.95,17.9,68,0,0.55
quelimane,-17.88,25.0,61,40,3.6
rahuri,19.39,27.5,70,74,7.3
vaini,15.34,23.0,88,75,6.2
upernavik,72.79,0.7,84,92,2.99
ushuaia,-54.81,-1.57,68,75,5.1
bilma,18.69,40.8,9,10,1.98
bredasdorp,-34.53,25.0,23,33,1.5
champerico,16.38,24.0,88,40,1.5
rikitea,-23.12,23.3,84,100,6.88
corner brook,48.95,19.29,46,20,1.5
srednekolymsk,67.46,10.6,51,100,5.98
port alfred,-33.59,17.22,75,0,0.65
lebu,8.96,20.0,64,40,5.1
narsaq,60.91,11.0,66,75,3.1
fortuna,40.6,10.88,100,1,3.1
torbay,47.66,14.56,51,40,3.1
chokurdakh,70.62,7.8,55,0,4.95
hilo,19.71,18.86,88,90,3.6
vanimo,-2.67,28.8,71,95,1.27
atuona,-9.8,26.8,77,21,8.54
mataura,-46.19,6.67,91,83,1.79
khatanga,71.98,15.4,33,100,4.99
binzhou,37.38,29.44,48,100,0.45
cherskiy,68.75,8.8,52,100,5.42
bluff,-23.58,15.3,80,0,8.71
carnarvon,-30.97,17.2,14,0,10.84
saint anthony,43.97,16.99,48,1,5.1
koygorodok,60.44,19.0,39,18,2.27
oktyabrskoye,56.73,24.26,57,0,2.0
qaanaaq,77.48,3.7,54,100,0.9
samarai,-10.62,23.6,94,42,1.83
lagoa,37.14,22.4,68,0,7.2
cape town,-33.93,15.37,72,20,11.8
tautira,-17.73,23.93,83,1,1.0
hobart,-42.88,10.27,66,0,6.7
kaspiyskiy,45.39,31.6,36,33,6.01
albany,42.65,24.75,57,1,2.1
jiujiang,29.73,26.0,83,52,2.21
praya,-8.71,22.0,94,75,1.0
butaritari,3.07,28.4,76,37,5.37
port elizabeth,39.31,29.66,51,1,2.1
chuy,-33.69,11.3,62,0,4.14
thompson,55.74,15.0,72,40,2.1
tasiilaq,65.61,7.0,81,90,1.5
kenai,60.55,10.97,81,1,2.6
wamba,2.14,24.2,94,100,0.66
tahoua,14.89,37.1,28,0,3.56
tuktoyaktuk,69.44,3.0,86,90,1.0
punta arenas,-53.16,-2.78,68,20,5.7
isperih,43.72,34.44,34,0,1.34
jamestown,-33.21,13.8,65,0,5.6
ryotsu,38.08,22.0,100,75,1.5
praia da vitoria,38.73,20.0,68,75,6.78
touros,-5.2,27.3,80,28,9.6
longyearbyen,78.22,4.0,80,75,3.6
capitao poco,-1.75,29.3,70,100,2.64
norman wells,65.28,12.0,66,40,3.1
ihosy,-22.4,15.6,93,0,3.8
busselton,-33.64,6.44,98,67,11.21
avarua,-21.21,22.0,78,97,3.1
melilla,-0.8,24.0,83,40,5.1
tamiahua,21.28,26.6,83,26,3.46
aloleng,16.13,27.9,80,100,6.9
ponta delgada,37.73,20.0,60,20,5.1
mar del plata,-46.43,1.2,45,100,4.57
san patricio,-26.98,17.0,70,0,3.22
nikolskoye,59.7,17.46,67,90,3.0
catuday,16.29,28.6,75,100,9.53
hohoe,7.15,28.6,71,97,3.1
filotion,37.05,28.27,58,0,10.3
maniitsoq,65.42,7.2,75,0,5.78
caravelas,-17.73,25.8,75,26,3.38
hermanus,-34.42,15.56,56,0,5.81
east london,-33.02,21.0,46,0,4.6
puerto ayora,-0.74,22.11,88,90,7.2
severo-kurilsk,50.68,4.6,95,100,4.56
sibolga,1.74,29.5,65,100,0.81
hirara,24.8,28.3,84,76,9.13
constantine,36.36,34.0,23,20,5.7
pisco,-13.71,19.2,30,90,2.6
danjiangkou,32.54,27.3,67,67,2.78
mtwara,-10.28,25.7,44,56,1.76
cayenne,4.94,29.0,74,75,2.84
esperance,-33.86,10.0,93,75,4.6
lunglei,22.89,24.5,97,100,0.99
bathsheba,13.22,30.0,58,20,10.8
jijiga,9.35,18.4,83,41,3.69
ancud,-41.87,4.0,93,90,3.6
verkhoyansk,67.55,18.5,43,33,1.99
laguna,16.17,28.0,88,40,1.73
lasa,34.92,29.0,70,0,6.7
pangnirtung,66.15,9.0,57,5,5.7
plettenberg bay,-34.05,17.2,35,0,1.9
warrington,53.39,23.39,53,0,5.7
novyy rogachik,48.68,30.0,15,0,4.0
creel,27.75,23.1,31,100,2.0
ixtapa,20.71,28.16,69,75,3.48
tura,64.27,19.9,67,100,1.62
saint george,39.45,33.21,31,20,5.7
dingle,11.0,24.8,82,100,2.32
corn island,12.17,28.0,78,89,11.25
yellowknife,62.45,10.75,53,20,4.6
baturaden,-7.32,20.8,92,18,1.12
bethel,60.79,13.01,93,75,3.1
ahipara,-35.17,14.0,77,0,4.94
marystown,47.17,16.0,64,56,1.32
praia,-20.25,24.24,47,0,3.1
great falls,47.5,12.04,93,75,6.7
condoto,5.09,27.0,88,75,1.06
demidov,55.27,18.6,90,75,7.48
vostok,46.45,10.2,98,100,1.43
mindelo,41.31,22.74,77,20,3.6
bambous virieux,-20.34,22.88,78,40,4.1
tuatapere,-46.13,6.67,91,100,1.79
